# transformed pred. IFP,transformed obs. IFP,obs. gfp
13.418581008911133,14.710088200090723,13.213401813313423
7.3394269943237305,7.324128366786689,6.102946078878577
42.824806213378906,46.88195747407133,43.680450384620656
9.84493637084961,9.027186388613554,9.930809347023953
60.08461380004883,61.691008344080004,63.91561496738527
7.543796062469482,7.482853211039215,9.376595719289277
25.87623405456543,32.75914197525283,32.46301505528331
9.913534164428711,8.367059708728595,10.051387591696804
14.066661834716797,9.958546662256863,14.132962356201384
52.71367645263672,51.520148495946934,52.53908386056302
7.652227878570557,7.614497146710237,7.215838520873075
13.279619216918945,10.437880442761736,16.43261220717795
48.07941818237305,43.66575497903998,52.74537840384033
36.18937301635742,35.1212499669636,31.158123395729675
62.7477912902832,64.73454551888085,56.56028151441487
7.436873435974121,7.4473667313684295,6.829355691371792
8.674676895141602,7.9310392272438905,9.021500896256471
7.279938697814941,7.269865203752862,5.908225881961859
7.279216766357422,7.314365267414743,5.632063496286993
58.659915924072266,64.03840650249911,63.962847097366414
7.860558032989502,7.795063503731756,6.747328692259203
11.301556587219238,17.438449450356217,15.015789900042021
7.255154609680176,7.245801905676823,4.836941967771779
7.255538463592529,7.244641433202428,5.754342370647355
7.257503986358643,7.244505037578407,6.351112859559297
62.722110748291016,64.70441549322831,65.80058908113874
62.03170394897461,64.12808437192763,66.81263232294184
46.59699249267578,52.262836135382706,50.062197678976815
33.30990982055664,33.411977247534395,32.01364827056901
64.19330596923828,64.76068568060646,64.52812914601724
64.65968322753906,64.73113657684326,67.46752183532232
