# pred. IFP,obs. IFP
0.39444512128829956,0.4184892861448676
0.03956816345453262,0.034086192822234025
0.6846855878829956,0.7180057794544996
0.2926907241344452,0.2517184560315513
0.8706625699996948,0.9028916234528179
0.09542185068130493,0.081356974852073
0.5497597455978394,0.6067401206194326
0.2955932021141052,0.20462264786458234
0.4069885015487671,0.2974625636649678
0.7725478410720825,0.7604310367703899
0.11692547053098679,0.1098785520534997
0.39161133766174316,0.3158503774363634
0.7283968329429626,0.6914046108983396
0.633289098739624,0.6250762486187228
0.9288836717605591,0.9977413315823165
0.06950746476650238,0.0723188681710386
0.22882726788520813,0.15903416203389933
0.01663495972752571,0.012263377614806186
0.01632693223655224,0.030448528552662144
0.8468711376190186,0.9693154960339935
0.14971429109573364,0.14034707068314656
0.3436068892478943,0.4597389497487759
0.00557052344083786,0.0011064697970722952
0.005750143900513649,0.0005404877668224554
0.006665502674877644,0.0004737846245223423
0.9281908273696899,0.9963710102809288
0.9107558727264404,0.9726442359615617
0.7155778408050537,0.7678965975356726
0.6110454797744751,0.6118409404852204
0.975119948387146,0.9989423024876581
0.9943637847900391,0.9975855476843909
