# slope GFP 0-290,std GFP 0-290,IFP 0-360,IFP 0-480,IFP 0-720
13.213401813313423,0.8219199838242628,0.33373244869541624,0.4184882949890101,0.5161515494074908
6.102946078878577,0.1864834279100576,0.023128527810257562,0.034086119224380367,0.04800730270401285
43.680450384620656,1.690322015333559,0.6614697832182166,0.7180040789239116,0.7713689435327342
9.930809347023953,0.3334887230680499,0.1907703496968182,0.2517178600978099,0.3068937120065592
63.91561496738527,3.182974115979518,0.8860911965676062,0.9028894850369195,0.9196662326274775
9.376595719289277,0.3004219005376346,0.05714044257277829,0.08135677660100825,0.10405095247264504
32.46301505528331,2.4541727321759894,0.5244900984218115,0.6067386836119103,0.6889355150065621
10.051387591696804,0.7553462182619789,0.1568435231329612,0.20462216320720605,0.2608032637364846
14.132962356201384,0.5368676519459503,0.2261207779077453,0.29746185915147066,0.37865075936991466
52.53908386056302,4.218758077685677,0.7119496000816069,0.7604292357591973,0.8067659960560555
7.215838520873075,0.09912236836410931,0.08037259150157636,0.10987829159321891,0.13598159027110676
16.43261220717795,0.44288113617593466,0.23702771196765576,0.31584962972073677,0.40688867084281766
52.74537840384033,0.33166405192947035,0.6384911997095513,0.691402973370096,0.7390530857116717
31.158123395729675,0.14029339229821156,0.5553510663124404,0.625074768182679,0.6960321608595244
56.56028151441487,2.6352505212250668,0.997843635474085,0.997738871594831,0.9982503455514187
6.829355691371792,0.36222362455603835,0.05312821402190559,0.07231870010215292,0.09036651916056693
9.021500896256471,0.04124698956273251,0.1176124935895192,0.1590337922881584,0.19965946902010795
5.908225881961859,0.18432151817977682,0.007261954258046509,0.012263361142643052,0.018913331225217277
5.632063496286993,0.3490589656582561,0.020307429900904533,0.03044844379079418,0.04180296491848561
63.962847097366414,2.2385160925856513,0.9639969692694953,0.969313200104961,0.9757510952270784
6.747328692259203,0.4819392072772896,0.10612339810656334,0.1403467384746617,0.17782595619013797
15.015789900042021,1.8726870346733786,0.36708225242946135,0.4597378608994624,0.556748812050181
4.836941967771779,0.48178337330389676,0.00024508066591615225,0.0011063122002143303,0.0013444321540168887
5.754342370647355,0.5111923523654206,0.0002594432972496592,0.0005408595523513548,0.0005275859868272523
6.351112859559297,0.4133480897497828,0.00046099641613308863,0.00047385436412519815,0.0020299758913341704
65.80058908113874,1.3432728170342563,0.9960533688445353,0.996368653048469,0.996647138416654
66.81263232294184,2.259033396537805,0.9662882957480509,0.9726419323430076,0.9798342317604457
50.062197678976815,2.0509531763802507,0.7259930166282833,0.7678947788430956,0.8112844986447661
32.01364827056901,0.6689726765735599,0.5333416915599315,0.6118394913939452,0.6934953910577627
64.52812914601724,1.7821517347670057,0.9986609452801636,0.9989399188580029,0.9992554817869731
67.46752183532232,3.262259680639945,0.9970251972364002,0.9975831853217904,0.9982267311394903
