# training set size,Ridge Reg.,k-NN,Random Forest,GTB,ResNet,SAPIENs
2500,0.119097964,0.13241091,0.108868306,0.10606871,0.080764936,0.073791831
5000,0.118835874,0.128325272,0.100930307,0.103449794,0.06957342,0.065983648
10000,0.118474598,0.123668888,0.096304478,0.083070577,0.065247256,0.059788843
20000,0.118083541,0.119334385,0.090462801,0.078882568,0.05960008,0.054240441
40000,0.117919794,0.114112695,0.085453837,0.082310018,0.052647697,0.048515241
80000,0.117887995,0.1099673,0.080755283,0.070583713,0.048972071,0.045080839
160000,0.11790235,0.105576846,0.077042074,0.069009349,0.04528774,0.041633721
248451,0.117872389,0.103203772,0.074910654,0.065705729,0.04450362,0.039482919
