# training set size,Ridge Reg.,k-NN,Random Forest,GTB,ResNet,SAPIENs
2500,0.67188191,0.61814097,0.70934411,0.74142279,0.796680766,0.825988404
5000,0.67486838,0.6362141,0.74253346,0.78122199,0.842660733,0.8568455
10000,0.67655869,0.65511119,0.75991659,0.80919011,0.859113024,0.875191224
20000,0.67752351,0.67461215,0.78159845,0.8350491,0.878608942,0.894407748
40000,0.67783474,0.69471748,0.79952848,0.85445139,0.895020894,0.906963731
80000,0.67790161,0.71204322,0.81424207,0.86654349,0.903754581,0.915479246
160000,0.67796846,0.72974249,0.82775709,0.88444238,0.911454132,0.923150654
248451,0.67793596,0.73793445,0.83494897,0.89295393,0.914831919,0.926539305
