# obs. IFP 0-360,pred. IFP 0-360
0.0,0.032578449696302414
0.00034597222222222223,0.01815590262413025
0.006156666666666667,0.022557847201824188
0.0006547222222222223,0.02370515838265419
0.006622083333333333,0.03089132532477379
0.0031647222222222224,0.0055266208946704865
0.004656388888888889,0.010788574814796448
0.01863625,0.04068487882614136
0.07200125,0.03328141197562218
0.029456250000000003,0.03143702819943428
0.03772958333333333,0.1464322954416275
0.007740277777777778,0.02370193600654602
0.06246,0.07558204233646393
0.025756805555555557,0.07472999393939972
0.044097222222222225,0.08692985773086548
0.0010508333333333333,0.014927782118320465
0.04426111111111111,0.06476236134767532
0.0,0.027310281991958618
0.008525555555555555,0.01131199300289154
0.00010805555555555555,0.01572875678539276
0.08007597222222222,0.12169113755226135
0.008448194444444444,0.022735752165317535
0.006414861111111111,0.029878027737140656
0.026099861111111112,0.03614290431141853
0.03468138888888889,0.06123540550470352
0.036763611111111115,0.057793211191892624
0.017658333333333335,0.05044780671596527
9.13888888888889e-05,0.0148305743932724
0.05285666666666667,0.04421117901802063
4.555555555555556e-05,0.0016874894499778748
0.0250875,0.02590324357151985
0.002170416666666667,0.015302691608667374
0.0013969444444444446,0.011866912245750427
0.006190694444444445,0.033329471945762634
0.0017087500000000002,0.012701742351055145
0.05407263888888889,0.04597850888967514
0.0005020833333333333,0.016521703451871872
0.06389486111111112,0.09378746151924133
0.0015187500000000001,0.017148476094007492
0.03405902777777778,0.04548567533493042
0.007494305555555555,0.03561985492706299
0.03630208333333333,0.12845271825790405
0.0020588888888888887,0.019139207899570465
0.02281,0.0242580845952034
0.05847569444444445,0.060655057430267334
0.003979027777777778,0.04272706061601639
0.06608013888888889,0.04239913821220398
0.004454861111111111,0.01202244684100151
0.0,0.015468444675207138
0.00666,0.04259360581636429
0.02617416666666667,0.033466435968875885
0.07345416666666667,0.041503287851810455
0.00023208333333333335,0.01857193559408188
0.06656847222222223,0.03410578891634941
0.07426569444444445,0.06361211091279984
0.031268611111111115,0.024860408157110214
0.001096111111111111,0.03668202459812164
0.02936791666666667,0.0896131843328476
0.09810555555555556,0.07816799730062485
0.07371833333333333,0.19175277650356293
0.017397500000000003,0.05083269253373146
